Branch,Component,Gender,hip_height,neck_height,chest_circumference,chest_height,foot_length,functional_leg_length,hand_length,shoulder_circumference,sitting_height,span,waist_circumference,waist_depth,weight_kg,height_m
Combat Support,Regular Army,Female,1314,1362,979,1140,239,1015,180,1062,899,1610,1004,237,77.3,1.606
Combat Support,Regular Army,Female,1346,1410,852,1171,239,1052,176,982,877,1676,759,171,55.5,1.642
Combat Support,Regular Army,Female,1308,1362,1014,1144,237,1027,176,1048,894,1650,955,245,72.7,1.622
Combat Service Support,Regular Army,Female,1355,1424,841,1188,246,1080,184,1030,874,1720,694,165,59.3,1.669
Combat Support,Regular Army,Female,1431,1505,1057,1278,268,1225,200,1142,894,1835,1068,273,99.8,1.745
Combat Support,Regular Army,Female,1233,1260,986,1046,215,989,164,1015,808,1505,948,243,58.1,1.495
Combat Support,Regular Army,Female,1206,1272,951,1054,232,976,163,1030,802,1509,912,234,64.2,1.493
Combat Support,Regular Army,Female,1354,1395,1068,1175,252,1065,185,1108,849,1696,989,232,75.8,1.641
Combat Support,Regular Army,Female,1318,1379,945,1138,247,1002,180,1031,885,1654,887,213,68.3,1.607
Combat Service Support,Regular Army,Female,1273,1342,826,1110,226,961,168,945,847,1567,698,166,47.1,1.56
Combat Arms,Regular Army,Female,1340,1399,978,1178,246,1027,178,1045,871,1629,822,187,66.5,1.625
Combat Service Support,Regular Army,Female,1361,1432,978,1183,230,1102,161,1047,904,1659,885,201,68.5,1.67
Combat Service Support,Regular Army,Female,1305,1379,870,1150,239,1020,174,1014,869,1621,764,176,57.9,1.616
Combat Arms,Regular Army,Female,1293,1345,1080,1133,229,993,164,1080,854,1590,943,236,64.7,1.582
Combat Service Support,Regular Army,Female,1427,1496,921,1250,261,1109,190,1036,889,1837,809,175,59.1,1.73
Combat Service Support,Regular Army,Female,1210,1289,846,1070,224,966,169,955,816,1529,739,165,45,1.501
Combat Service Support,Regular Army,Female,1253,1299,959,1067,225,989,160,990,828,1496,826,198,57.2,1.515
Combat Support,Regular Army,Female,1284,1344,1022,1101,257,1036,181,1118,873,1636,962,222,72.1,1.576
Combat Service Support,Regular Army,Female,1338,1402,878,1190,247,1062,185,1013,848,1677,849,214,67.6,1.628
Combat Support,Regular Army,Female,1302,1357,1029,1106,231,1018,170,1067,859,1585,951,229,71.1,1.586
Combat Support,Regular Army,Female,1414,1506,936,1245,275,1167,198,1053,894,1739,889,214,79.1,1.737
Combat Service Support,Regular Army,Female,1293,1346,834,1115,235,997,174,972,856,1556,790,195,53.6,1.576
Combat Support,Regular Army,Female,1323,1394,931,1165,249,1082,182,1038,850,1682,811,209,63.9,1.626
Combat Support,Regular Army,Female,1268,1367,981,1119,230,1015,172,1082,850,1636,831,200,62.8,1.604
Combat Service Support,Regular Army,Female,1379,1446,1037,1198,250,1108,183,1069,878,1680,958,238,78.8,1.673
Combat Service Support,Regular Army,Female,1358,1416,981,1184,234,1037,170,970,874,1612,761,181,59.8,1.642
Combat Support,Regular Army,Female,1259,1304,1052,1108,236,1013,168,1107,828,1553,1070,285,75.2,1.538
Combat Support,Regular Army,Female,1315,1354,1028,1126,237,1035,163,1079,817,1628,923,263,68.6,1.574
Combat Arms,Regular Army,Female,1345,1405,946,1147,239,1056,174,999,861,1632,949,222,66.8,1.637
Combat Support,Regular Army,Female,1317,1378,930,1152,247,1041,180,1046,865,1670,858,202,61.3,1.62
Combat Service Support,Regular Army,Female,1435,1494,937,1300,268,1085,194,1060,920,1782,859,224,74.2,1.733
Combat Service Support,Regular Army,Female,1252,1294,810,1124,255,969,176,979,807,1580,721,180,52.2,1.526
Combat Service Support,Regular Army,Female,1439,1490,991,1215,258,1082,193,1053,916,1773,908,219,76.7,1.732
Combat Service Support,Regular Army,Female,1334,1390,985,1155,245,1052,179,1078,867,1707,880,217,66.1,1.624
Combat Service Support,Regular Army,Female,1223,1274,844,1079,222,984,166,952,824,1516,759,184,50.5,1.507
Combat Support,Regular Army,Female,1271,1332,965,1109,229,1053,165,983,819,1572,919,224,63.7,1.56
Combat Service Support,Regular Army,Female,1355,1418,985,1203,263,1088,184,1043,836,1690,908,204,66.6,1.64
Combat Service Support,Regular Army,Female,1358,1440,862,1219,257,1083,181,1011,872,1724,731,173,61,1.675
Combat Service Support,Regular Army,Female,1243,1292,863,1085,235,965,172,989,826,1577,820,195,58.1,1.526
Combat Service Support,Regular Army,Female,1336,1379,870,1146,241,1066,177,1017,858,1667,821,226,60.9,1.623
Combat Service Support,Regular Army,Female,1282,1334,815,1132,234,1032,168,971,845,1557,740,171,57.5,1.584
Combat Support,Regular Army,Female,1375,1431,1057,1235,259,1082,180,1066,889,1679,1024,246,79.7,1.671
Combat Support,Regular Army,Female,1267,1337,1137,1079,228,1021,170,1044,846,1563,932,236,74.5,1.552
Combat Support,Regular Army,Female,1333,1381,874,1150,242,1050,175,977,888,1628,827,187,61.4,1.633
Combat Service Support,Regular Army,Female,1248,1298,1004,1121,225,956,170,1042,828,1540,896,232,67.7,1.53
Combat Support,Regular Army,Female,1305,1382,844,1141,243,1033,180,956,844,1635,738,167,50.8,1.606
Combat Support,Regular Army,Female,1320,1392,950,1169,250,1056,185,1007,851,1641,832,206,63.3,1.617
Combat Support,Regular Army,Female,1349,1399,1013,1165,247,1019,182,1059,904,1644,851,205,71.1,1.645
Combat Support,Regular Army,Female,1364,1440,960,1243,263,1074,196,1072,852,1765,859,202,72.7,1.681
Combat Support,Regular Army,Female,1359,1426,992,1163,260,1112,182,987,876,1680,906,219,67.9,1.655
Combat Support,Regular Army,Female,1338,1404,1069,1158,244,1058,176,1075,861,1639,1028,269,83.3,1.626
Combat Service Support,Regular Army,Female,1338,1398,838,1195,238,1084,176,998,835,1644,786,192,62.2,1.635
Combat Service Support,Regular Army,Female,1302,1353,962,1142,241,1033,178,1038,818,1640,853,211,61.6,1.572
Combat Service Support,Regular Army,Female,1294,1365,899,1162,250,1053,188,1004,856,1726,745,185,57.3,1.608
Combat Service Support,Regular Army,Female,1368,1427,828,1208,247,1073,177,953,865,1634,737,162,50.7,1.662
Combat Service Support,Regular Army,Female,1270,1342,940,1098,237,1005,174,1027,836,1651,802,209,61.1,1.582
Combat Service Support,Regular Army,Female,1409,1480,1156,1267,256,1159,188,1213,850,1796,1045,267,86.6,1.701
Combat Support,Regular Army,Female,1300,1366,886,1143,223,1017,162,976,883,1612,763,182,52.3,1.602
Combat Service Support,Regular Army,Female,1245,1322,991,1100,243,1013,180,1054,812,1643,955,256,67.6,1.549
Combat Service Support,Regular Army,Female,1280,1336,899,1126,234,1031,184,974,815,1652,719,180,54.9,1.561
Combat Service Support,Regular Army,Female,1368,1426,889,1229,250,1101,192,1010,850,1793,746,189,57.1,1.677
Combat Support,Regular Army,Female,1304,1361,907,1131,243,1023,180,1014,840,1618,874,216,64.4,1.594
Combat Service Support,Regular Army,Female,1333,1392,940,1214,243,1021,174,1025,886,1574,772,190,64.9,1.628
Combat Service Support,Regular Army,Female,1268,1341,949,1093,230,995,165,997,846,1590,802,182,59.2,1.549
Combat Service Support,Regular Army,Female,1246,1318,866,1108,240,984,178,979,860,1580,719,166,56.3,1.559
Combat Service Support,Regular Army,Female,1318,1388,907,1177,253,964,174,1001,883,1613,862,199,58,1.619
Combat Service Support,Regular Army,Female,1383,1468,983,1207,242,1102,179,1047,881,1705,1044,257,81,1.69
Combat Support,Regular Army,Female,1377,1456,895,1195,248,1037,175,1008,905,1735,817,194,64.9,1.698
Combat Service Support,Regular Army,Female,1393,1473,892,1234,256,1129,182,1028,898,1734,817,196,65.4,1.705
Combat Service Support,Regular Army,Female,1332,1391,875,1161,242,1083,170,961,834,1637,816,205,57,1.625
Combat Service Support,Regular Army,Female,1375,1410,1012,1214,252,1060,170,1058,885,1649,939,224,80.5,1.666
Combat Service Support,Regular Army,Female,1280,1324,1026,1069,217,1014,155,998,816,1537,863,187,67.1,1.559
Combat Support,Regular Army,Female,1307,1367,977,1128,236,1034,169,1003,857,1626,915,215,67.3,1.595
Combat Support,Regular Army,Female,1352,1404,812,1201,234,1077,174,1010,849,1641,764,170,55,1.634
Combat Support,Regular Army,Female,1365,1417,913,1175,252,1101,178,1049,828,1713,899,207,70.8,1.643
Combat Service Support,Regular Army,Female,1380,1419,943,1201,236,1071,180,956,877,1659,782,184,53.8,1.667
Combat Support,Regular Army,Female,1375,1436,1032,1187,263,1098,202,1122,844,1796,897,209,77.1,1.661
Combat Support,Regular Army,Female,1284,1352,878,1106,243,1028,175,968,803,1653,817,188,60.2,1.56
Combat Support,Regular Army,Female,1323,1384,971,1185,262,1067,186,1089,825,1795,900,231,71.9,1.61
Combat Support,Army National Guard,Female,1341,1400,906,1194,235,1040,176,998,846,1609,830,196,61.7,1.61
Combat Service Support,Army National Guard,Female,1387,1446,1024,1183,260,1082,190,1107,881,1783,947,222,76.1,1.682
Combat Service Support,Regular Army,Female,1322,1389,1028,1112,237,1054,184,1094,847,1683,958,231,73.9,1.604
Combat Arms,Regular Army,Female,1241,1310,881,1078,228,978,168,973,828,1525,767,181,56,1.54
Combat Service Support,Regular Army,Female,1340,1410,919,1188,234,1049,170,990,847,1648,777,180,64.7,1.638
Combat Service Support,Regular Army,Female,1323,1399,918,1179,250,1037,168,1037,916,1619,896,208,72.4,1.656
Combat Service Support,Regular Army,Female,1309,1369,1118,1126,237,1039,175,1107,834,1608,968,216,70.8,1.597
Combat Support,Regular Army,Female,1462,1538,1130,1270,277,1228,207,1154,851,1874,997,273,95.3,1.749
Combat Support,Regular Army,Female,1384,1440,1002,1227,255,1086,184,1056,891,1689,879,203,74.8,1.661
Combat Support,Regular Army,Female,1263,1308,1039,1074,223,1023,172,1032,797,1629,1000,266,70,1.526
Combat Support,Regular Army,Female,1302,1363,934,1129,236,1031,171,987,854,1610,931,219,65.5,1.583
Combat Support,Army National Guard,Female,1251,1310,844,1074,242,985,184,929,818,1572,748,188,49.9,1.533
Combat Support,Regular Army,Female,1281,1353,821,1132,261,1033,188,980,805,1677,734,174,55.3,1.575
Combat Service Support,Regular Army,Female,1454,1519,1072,1271,263,1129,194,1116,937,1790,1021,235,92.4,1.776
Combat Support,Army Reserve,Female,1411,1469,1084,1237,257,1102,182,1071,890,1763,874,190,71.6,1.713
Combat Support,Army Reserve,Female,1316,1417,918,1184,259,1015,187,1036,893,1671,803,201,67.6,1.653
Combat Service Support,Army Reserve,Female,1255,1296,1032,1076,227,952,167,1040,811,1562,935,217,64.1,1.516
Combat Support,Regular Army,Female,1351,1427,971,1184,260,1083,189,1072,851,1756,810,189,66.6,1.658
Combat Support,Regular Army,Female,1343,1394,1022,1165,240,1055,174,1029,863,1583,882,197,66.3,1.617
Combat Support,Regular Army,Female,1404,1460,987,1213,273,1147,194,1002,850,1744,920,237,76.3,1.687
Combat Service Support,Regular Army,Female,1322,1392,1036,1172,239,1093,175,1025,804,1676,1085,279,71.7,1.603
Combat Service Support,Army Reserve,Female,1275,1301,990,1110,237,955,170,995,842,1546,923,236,64.3,1.539
Combat Service Support,Army Reserve,Female,1296,1354,965,1161,238,1019,175,1027,842,1673,840,202,59.1,1.603
Combat Service Support,Regular Army,Female,1327,1404,817,1158,236,1048,170,976,865,1633,783,168,52.9,1.62
Combat Service Support,Army Reserve,Female,1318,1378,993,1137,253,1043,185,1017,872,1683,924,231,69.4,1.617
Combat Support,Army Reserve,Female,1286,1367,1031,1122,245,1034,179,1029,823,1650,972,259,69.9,1.6
Combat Service Support,Army Reserve,Female,1290,1351,877,1122,247,992,172,1027,817,1649,774,179,59.2,1.572
Combat Support,Army Reserve,Female,1303,1390,818,1152,242,1004,183,977,863,1662,708,176,54,1.632
Combat Support,Army National Guard,Female,1362,1440,945,1199,246,1060,166,1039,910,1667,879,219,70.1,1.69
Combat Service Support,Army Reserve,Female,1369,1437,916,1223,250,1136,182,1066,887,1728,830,211,68.1,1.682
Combat Service Support,Army Reserve,Female,1358,1417,1050,1183,254,1083,191,1098,869,1737,980,243,86.4,1.657
Combat Service Support,Army Reserve,Female,1391,1445,881,1212,246,1063,174,1078,862,1745,883,190,67.2,1.672
Combat Service Support,Army Reserve,Female,1322,1375,912,1168,226,1020,178,1006,858,1626,754,179,55.9,1.621
Combat Service Support,Army Reserve,Female,1339,1394,854,1135,240,1000,172,942,868,1596,767,186,56.6,1.623
Combat Service Support,Army Reserve,Female,1329,1391,887,1162,246,1007,179,996,869,1656,868,201,58.5,1.633
Combat Support,Army Reserve,Female,1233,1308,1005,1084,240,960,182,1047,815,1608,938,237,62.8,1.526
Combat Service Support,Army Reserve,Female,1282,1348,825,1124,230,949,170,917,822,1603,682,161,46.7,1.57
Combat Service Support,Army Reserve,Female,1322,1376,874,1163,248,1017,178,997,832,1687,762,183,59.9,1.616
Combat Service Support,Army Reserve,Female,1393,1458,972,1204,254,1098,187,1047,893,1734,802,174,64.2,1.69
Combat Service Support,Army Reserve,Female,1339,1397,1026,1132,237,1027,172,1057,895,1648,1060,260,81.3,1.637
Combat Service Support,Army Reserve,Female,1434,1474,979,1281,263,1140,200,1021,876,1794,922,218,71.9,1.718
Combat Support,Army Reserve,Female,1281,1354,873,1099,233,1012,175,947,832,1599,783,197,54.8,1.588
Combat Service Support,Army Reserve,Female,1240,1309,844,1111,228,929,167,977,832,1526,707,162,48.5,1.52
Combat Service Support,Army Reserve,Female,1320,1390,921,1164,261,1047,182,1041,849,1696,795,207,65.8,1.618
Combat Support,Army Reserve,Female,1332,1393,1000,1183,261,1044,180,1082,880,1689,862,211,75.3,1.631
Combat Service Support,Army Reserve,Female,1363,1399,938,1206,245,1075,176,1026,843,1686,929,237,63.6,1.642
Combat Service Support,Army Reserve,Female,1393,1467,952,1241,273,1139,200,1105,863,1864,858,241,75.2,1.719
Combat Service Support,Army Reserve,Female,1408,1490,931,1248,279,1158,205,1100,863,1870,784,191,75.5,1.715
Combat Service Support,Army Reserve,Female,1336,1416,814,1225,246,1057,182,976,824,1719,632,159,46.9,1.653
Combat Service Support,Army Reserve,Female,1300,1364,913,1131,232,977,167,965,832,1629,809,188,53.7,1.59
Combat Service Support,Army Reserve,Female,1445,1517,950,1254,274,1175,202,1071,894,1821,912,217,75.8,1.751
Combat Service Support,Army Reserve,Female,1301,1355,950,1134,248,1087,186,1040,796,1696,941,228,67.9,1.583
Combat Service Support,Army Reserve,Female,1326,1389,915,1189,253,1063,176,1038,850,1713,854,205,68.4,1.627
Combat Service Support,Army Reserve,Female,1298,1358,923,1160,242,1067,185,1121,815,1680,885,236,67.7,1.586
Combat Service Support,Army Reserve,Female,1377,1427,909,1194,239,1063,174,992,882,1665,783,185,61.7,1.675
Combat Service Support,Army Reserve,Female,1329,1376,986,1156,242,1026,168,1042,865,1570,927,237,71.7,1.606
Combat Support,Army Reserve,Female,1368,1444,870,1218,251,1116,190,1052,862,1730,785,190,64.2,1.68
Combat Service Support,Army Reserve,Female,1454,1534,942,1311,274,1142,199,1042,903,1878,858,215,74,1.773
Combat Support,Army Reserve,Female,1385,1446,1105,1219,258,1099,193,1164,843,1739,958,252,79.2,1.68
Combat Support,Army Reserve,Female,1346,1415,838,1183,248,1041,179,996,865,1721,707,167,58.1,1.645
Combat Service Support,Army Reserve,Female,1271,1336,1086,1096,244,999,174,1077,835,1612,1004,249,72.7,1.558
Combat Support,Army National Guard,Female,1382,1413,985,1196,247,1040,177,1002,889,1641,905,212,70.4,1.665
Combat Support,Army Reserve,Female,1315,1378,960,1151,240,1075,172,1007,817,1652,989,236,65.3,1.601
Combat Support,Army National Guard,Female,1366,1428,964,1233,242,1085,181,1068,869,1741,906,222,72.5,1.658
Combat Support,Army National Guard,Female,1316,1372,1015,1137,242,1010,174,1065,881,1629,854,197,72.1,1.623
Combat Support,Army National Guard,Female,1340,1422,862,1196,255,1017,182,973,893,1695,738,165,56.1,1.661
Combat Service Support,Army National Guard,Female,1276,1336,861,1138,243,990,180,1015,831,1592,784,186,58.3,1.563
Combat Service Support,Army National Guard,Female,1307,1392,927,1149,248,1033,184,1044,881,1696,871,209,67.7,1.63
Combat Service Support,Army National Guard,Female,1257,1305,906,1070,225,929,169,997,836,1553,811,198,57.6,1.528
Combat Service Support,Army National Guard,Female,1337,1399,847,1175,242,1049,177,991,885,1629,728,169,55.9,1.653
Combat Service Support,Army National Guard,Female,1245,1292,841,1082,217,976,157,933,782,1587,763,198,46.8,1.512
Combat Service Support,Army National Guard,Female,1328,1396,855,1145,247,1053,181,995,870,1639,793,190,56.7,1.629
Combat Service Support,Army National Guard,Female,1368,1432,1072,1162,249,1102,181,1136,861,1719,1001,239,82,1.675
Combat Service Support,Army National Guard,Female,1191,1264,988,1064,219,941,161,1058,838,1532,922,212,66.4,1.498
Combat Support,Army National Guard,Female,1236,1318,984,1103,238,990,184,1056,818,1625,829,206,62.6,1.538
Combat Service Support,Army National Guard,Female,1287,1347,938,1116,239,1026,180,1070,843,1608,850,207,65.3,1.567
Combat Service Support,Army National Guard,Female,1312,1342,866,1131,232,1034,169,965,832,1643,731,176,53.9,1.59
Combat Service Support,Army National Guard,Female,1297,1355,1063,1099,234,1009,187,1079,842,1630,996,247,75,1.573
Combat Support,Army National Guard,Female,1319,1362,949,1145,247,1028,181,1060,857,1630,871,212,70.4,1.595
Combat Service Support,Army National Guard,Female,1323,1385,982,1147,254,1067,180,1023,829,1619,1036,270,67.5,1.61
Combat Service Support,Army National Guard,Female,1298,1330,935,1138,226,1029,165,1031,848,1614,835,192,64,1.565
Combat Service Support,Army National Guard,Female,1248,1297,845,1088,227,959,163,935,828,1534,665,154,47,1.523
Combat Service Support,Army National Guard,Female,1269,1357,836,1112,242,1020,181,956,826,1624,671,160,50.2,1.57
Combat Service Support,Army National Guard,Female,1269,1326,949,1122,228,994,170,1015,821,1595,769,185,59.7,1.556
Combat Service Support,Army National Guard,Female,1315,1373,954,1132,237,1046,170,1041,857,1618,850,220,64.6,1.599
