Branch,Component,Gender,hip_height,neck_height,chest_circumference,chest_height,foot_length,functional_leg_length,hand_length,shoulder_circumference,sitting_height,span,waist_circumference,waist_depth,weight_kg,height_m
Combat Service Support,Regular Army,Male,1370,1443,977,1262,254,1063,185,1121,914,1695,880,216,74.6,1.68
Combat Arms,Regular Army,Male,1340,1423,1079,1216,267,1089,180,1170,867,1706,978,241,79.2,1.653
Combat Service Support,Regular Army,Male,1624,1707,1011,1506,301,1286,227,1203,959,2072,827,208,91.5,1.959
Combat Arms,Regular Army,Male,1423,1509,1098,1291,277,1133,194,1160,945,1809,1030,273,96.5,1.755
Combat Arms,Regular Army,Male,1326,1410,957,1174,263,1042,181,1031,874,1655,885,228,67.5,1.63
Combat Arms,Regular Army,Male,1486,1564,1158,1343,266,1145,199,1238,961,1876,1130,300,107.3,1.825
Combat Arms,Regular Army,Male,1469,1550,964,1316,275,1132,192,1095,958,1828,912,229,79.3,1.795
Combat Service Support,Regular Army,Male,1425,1500,971,1290,278,1140,193,1084,906,1803,864,219,78.2,1.745
Combat Support,Regular Army,Male,1480,1568,1057,1325,271,1130,196,1135,980,1807,965,242,88.2,1.818
Combat Service Support,Regular Army,Male,1538,1620,957,1376,262,1198,192,1141,983,1898,777,186,71.5,1.881
Combat Arms,Regular Army,Male,1429,1521,1108,1292,273,1127,201,1141,933,1863,1063,275,94.7,1.76
Combat Service Support,Regular Army,Male,1363,1447,947,1239,269,1075,187,1040,880,1749,870,226,66.5,1.675
Combat Service Support,Regular Army,Male,1543,1615,1043,1350,280,1189,195,1182,933,1941,966,240,87.9,1.852
Combat Service Support,Regular Army,Male,1432,1525,965,1307,265,1107,193,1123,932,1803,806,213,67.5,1.785
Combat Service Support,Regular Army,Male,1483,1542,1174,1314,284,1207,194,1154,927,1894,1096,282,88.4,1.791
Combat Service Support,Regular Army,Male,1386,1452,951,1227,236,1124,183,1013,882,1757,895,225,69.5,1.685
Combat Service Support,Regular Army,Male,1544,1616,1182,1372,295,1234,197,1253,959,1908,1214,316,121.8,1.85
Combat Service Support,Regular Army,Male,1412,1488,981,1263,284,1140,210,1147,900,1854,790,202,71.9,1.737
Combat Service Support,Regular Army,Male,1430,1484,1086,1261,275,1097,196,1209,931,1769,1002,263,88.1,1.743
Combat Service Support,Regular Army,Male,1438,1501,865,1311,250,1088,184,1012,932,1773,748,187,57.5,1.744
Combat Service Support,Regular Army,Male,1374,1440,1205,1246,258,1096,189,1233,857,1749,1043,291,87.6,1.679
Combat Service Support,Regular Army,Male,1502,1583,1013,1374,293,1119,206,1150,992,1810,864,210,85,1.836
Combat Service Support,Regular Army,Male,1414,1501,1152,1249,269,1127,190,1244,913,1765,969,226,86.5,1.73
Combat Service Support,Regular Army,Male,1440,1522,1096,1279,272,1188,198,1167,927,1810,1095,273,95.8,1.762
Combat Service Support,Regular Army,Male,1328,1411,957,1190,256,1017,190,1086,921,1724,770,193,66.7,1.669
Combat Service Support,Regular Army,Male,1413,1490,985,1249,260,1131,200,1100,940,1766,840,219,70.6,1.74
Combat Service Support,Regular Army,Male,1406,1485,1063,1239,237,1113,183,1190,918,1766,1028,270,84.7,1.709
Combat Arms,Regular Army,Male,1531,1601,1137,1392,295,1174,212,1195,999,1876,1021,277,101.3,1.879
Combat Service Support,Regular Army,Male,1364,1440,1106,1220,255,1106,184,1123,890,1716,1061,282,85.6,1.674
Combat Service Support,Regular Army,Male,1457,1530,1166,1306,287,1168,206,1254,929,1803,1139,288,109.5,1.779
Combat Service Support,Regular Army,Male,1533,1596,1081,1370,279,1161,203,1164,946,1929,922,230,83.4,1.844
Combat Service Support,Regular Army,Male,1370,1426,1006,1229,255,1067,187,1073,867,1680,995,265,72.7,1.637
Combat Service Support,Regular Army,Male,1434,1519,1153,1289,268,1163,185,1187,932,1786,1047,281,98.6,1.754
Combat Arms,Regular Army,Male,1385,1456,1037,1223,265,1076,190,1155,918,1709,885,223,77.3,1.704
Combat Service Support,Regular Army,Male,1525,1600,1469,1349,283,1279,213,1309,954,1993,1379,406,140,1.84
Combat Service Support,Regular Army,Male,1496,1543,901,1343,282,1140,196,1093,879,1922,750,192,67.4,1.783
Combat Service Support,Regular Army,Male,1426,1501,1071,1268,253,1103,187,1184,939,1737,970,248,88.4,1.748
Combat Service Support,Regular Army,Male,1433,1492,1263,1285,267,1090,189,1252,904,1815,1068,288,98.8,1.703
Combat Service Support,Regular Army,Male,1529,1597,1146,1365,286,1190,205,1234,965,1902,1012,251,95.2,1.852
Combat Support,Regular Army,Male,1310,1388,858,1208,249,1010,178,1035,852,1676,754,193,56.6,1.609
Combat Support,Regular Army,Male,1396,1476,1044,1248,248,1122,184,1130,867,1797,926,235,71.7,1.709
Combat Arms,Regular Army,Male,1491,1577,904,1357,270,1153,193,1065,966,1879,827,205,71.7,1.835
Combat Support,Regular Army,Male,1378,1457,1033,1217,264,1150,191,1141,882,1805,940,239,80.2,1.679
Combat Arms,Regular Army,Male,1434,1504,1160,1268,267,1155,197,1161,919,1811,1133,312,98.8,1.742
Combat Service Support,Regular Army,Male,1410,1465,971,1251,264,1090,178,1037,895,1683,843,207,66.2,1.698
Combat Arms,Regular Army,Male,1356,1443,1050,1192,248,1082,180,1112,899,1764,1021,270,80.7,1.671
Combat Service Support,Regular Army,Male,1524,1605,1213,1360,284,1243,199,1258,963,1878,1061,291,105.3,1.85
Combat Arms,Regular Army,Male,1416,1509,944,1300,264,1114,190,1117,915,1830,786,192,68.3,1.754
Combat Arms,Regular Army,Male,1320,1407,989,1179,255,1096,184,1143,853,1705,855,217,74.9,1.619
Combat Service Support,Regular Army,Male,1442,1521,975,1304,274,1106,196,1116,930,1810,830,196,73.8,1.772
Combat Service Support,Regular Army,Male,1384,1460,939,1279,278,1147,203,1067,834,1832,743,193,60.4,1.705
Combat Arms,Regular Army,Male,1296,1381,1091,1191,256,1045,180,1143,868,1699,967,246,77.4,1.619
Combat Service Support,Regular Army,Male,1379,1470,983,1253,256,1074,181,1156,953,1735,922,226,76.8,1.726
Combat Service Support,Regular Army,Male,1514,1587,1129,1361,273,1200,195,1192,943,1846,1120,291,102.2,1.84
Combat Service Support,Regular Army,Male,1418,1509,1205,1264,256,1155,181,1217,918,1798,1060,284,96.3,1.743
Combat Service Support,Regular Army,Male,1383,1448,1123,1227,256,1147,190,1201,899,1743,1030,277,92.3,1.674
Combat Support,Regular Army,Male,1446,1540,1129,1288,299,1150,210,1264,895,1876,974,244,98.8,1.75
Combat Arms,Regular Army,Male,1458,1562,1048,1348,274,1174,200,1271,947,1886,844,210,88.7,1.819
Combat Service Support,Regular Army,Male,1472,1551,1063,1326,297,1207,208,1189,910,1894,969,254,98.7,1.799
Combat Arms,Regular Army,Male,1432,1525,1098,1296,255,1189,188,1173,900,1813,1010,260,85.2,1.75
Combat Service Support,Regular Army,Male,1392,1493,972,1285,260,1123,191,1140,884,1830,892,227,74.8,1.723
Combat Service Support,Regular Army,Male,1524,1573,1127,1347,278,1168,201,1142,928,1798,1032,281,92,1.809
Combat Arms,Regular Army,Male,1446,1532,963,1302,272,1123,190,1142,967,1807,851,214,74.4,1.791
Combat Service Support,Regular Army,Male,1410,1479,1098,1276,260,1157,191,1193,901,1801,979,253,82.3,1.723
Combat Arms,Regular Army,Male,1252,1333,953,1116,233,1035,165,1013,863,1536,857,217,62.7,1.578
Combat Arms,Regular Army,Male,1417,1481,1024,1270,273,1092,192,1116,898,1797,979,245,77.8,1.718
Combat Arms,Regular Army,Male,1453,1538,1043,1305,268,1144,194,1151,978,1785,984,247,88.2,1.799
Combat Arms,Regular Army,Male,1414,1495,902,1290,268,1146,194,1095,875,1819,721,186,59,1.74
Combat Arms,Regular Army,Male,1380,1459,1008,1235,268,1071,204,1137,914,1765,885,227,73,1.702
Combat Arms,Regular Army,Male,1429,1510,1027,1288,269,1082,197,1187,921,1798,961,237,86.4,1.737
Combat Arms,Regular Army,Male,1440,1502,1044,1314,266,1110,187,1142,913,1744,996,257,86.6,1.73
Combat Arms,Regular Army,Male,1446,1525,917,1307,268,1116,192,1064,962,1774,838,209,73.7,1.785
Combat Arms,Regular Army,Male,1476,1567,917,1336,287,1151,203,1096,927,1954,752,190,65.4,1.817
Combat Arms,Regular Army,Male,1486,1580,924,1364,277,1160,202,1128,948,1876,775,198,69.6,1.843
Combat Arms,Regular Army,Male,1466,1546,994,1345,264,1154,195,1179,919,1875,809,184,77.5,1.791
Combat Arms,Regular Army,Male,1349,1419,1001,1223,248,1099,175,1128,862,1663,862,212,72.7,1.657
Combat Arms,Regular Army,Male,1403,1464,1069,1251,265,1131,184,1124,891,1749,1027,267,79.7,1.701
Combat Arms,Regular Army,Male,1429,1533,995,1298,262,1107,186,1148,955,1855,797,207,74.4,1.786
Combat Arms,Regular Army,Male,1433,1515,1104,1294,269,1135,195,1197,930,1813,1082,289,96.8,1.755
Combat Arms,Regular Army,Male,1473,1560,1045,1332,274,1152,204,1157,910,1883,942,247,86.6,1.791
Combat Arms,Regular Army,Male,1427,1519,1015,1288,275,1124,182,1127,928,1778,871,208,74.2,1.759
Combat Arms,Regular Army,Male,1468,1536,1109,1310,269,1196,191,1195,927,1862,912,253,92,1.79
Combat Service Support,Regular Army,Male,1442,1530,991,1297,260,1146,183,1123,963,1691,873,218,81.4,1.782
Combat Service Support,Regular Army,Male,1525,1584,844,1377,282,1175,201,961,968,1826,785,211,64.6,1.839
Combat Arms,Regular Army,Male,1591,1651,1176,1407,280,1265,197,1154,931,1909,1023,261,95.4,1.88
Combat Arms,Regular Army,Male,1422,1498,1085,1276,278,1088,192,1222,948,1828,924,244,85.3,1.738
Combat Service Support,Regular Army,Male,1392,1498,1085,1272,270,1141,196,1194,919,1816,1001,273,90,1.734
Combat Service Support,Regular Army,Male,1490,1588,1021,1341,284,1159,204,1220,921,1990,901,241,83.5,1.819
Combat Service Support,Regular Army,Male,1373,1446,1096,1257,265,1128,194,1162,890,1748,958,245,85.1,1.683
Combat Service Support,Regular Army,Male,1502,1587,1063,1340,275,1185,192,1156,945,1837,972,234,89.7,1.815
Combat Service Support,Regular Army,Male,1500,1573,1030,1329,279,1152,199,1154,974,1799,939,238,87.2,1.815
Combat Support,Regular Army,Male,1380,1438,1106,1223,246,1051,177,1197,908,1724,1003,279,82.2,1.673
Combat Arms,Regular Army,Male,1504,1579,1163,1353,285,1226,209,1243,967,1880,1139,308,111.2,1.831
Combat Arms,Regular Army,Male,1477,1552,1089,1311,263,1156,191,1161,926,1752,1162,319,98.7,1.795
Combat Arms,Regular Army,Male,1547,1595,1149,1352,275,1228,197,1228,961,1918,1111,294,110.5,1.845
Combat Support,Regular Army,Male,1375,1432,1041,1229,246,1009,182,1127,940,1727,900,223,78.2,1.687
Combat Service Support,Regular Army,Male,1450,1518,1056,1279,274,1137,190,1117,928,1786,998,271,86.9,1.756
Combat Service Support,Regular Army,Male,1568,1627,1358,1411,294,1275,208,1368,927,1919,1330,373,141.3,1.846
Combat Service Support,Regular Army,Male,1340,1431,1025,1196,254,1087,180,1219,897,1719,897,228,78.9,1.657
Combat Service Support,Regular Army,Male,1330,1400,1000,1186,257,1070,174,1105,857,1723,911,222,69,1.632
Combat Arms,Regular Army,Male,1425,1494,1026,1280,267,1119,192,1186,916,1858,861,230,79.2,1.735
Combat Service Support,Regular Army,Male,1411,1499,989,1252,269,1086,185,1064,925,1745,920,229,69.9,1.726
Combat Support,Regular Army,Male,1568,1642,1251,1432,283,1229,207,1258,986,1914,1192,330,121.2,1.877
Combat Support,Regular Army,Male,1506,1608,1030,1385,289,1184,205,1183,1007,1915,1012,251,87.8,1.887
Combat Service Support,Regular Army,Male,1449,1530,970,1322,284,1183,200,1060,878,1855,845,224,70.6,1.765
Combat Service Support,Regular Army,Male,1474,1561,1035,1327,280,1142,196,1201,903,1917,843,214,82.2,1.793
Combat Service Support,Regular Army,Male,1493,1577,1076,1371,288,1196,203,1268,992,1916,910,233,99.2,1.849
Combat Service Support,Regular Army,Male,1495,1576,1038,1332,263,1149,197,1151,944,1892,879,217,76,1.811
Combat Service Support,Regular Army,Male,1435,1524,1113,1292,276,1131,191,1210,930,1786,1031,265,98.8,1.739
Combat Service Support,Regular Army,Male,1382,1443,1011,1227,275,1129,185,1085,843,1716,929,228,75.9,1.668
Combat Service Support,Regular Army,Male,1459,1548,1024,1297,270,1220,196,1144,941,1891,994,241,89.8,1.788
Combat Service Support,Regular Army,Male,1434,1522,997,1297,281,1189,208,1182,857,1869,815,214,78.2,1.746
Combat Service Support,Regular Army,Male,1422,1502,1057,1291,265,1112,196,1165,908,1812,983,254,83.1,1.75
Combat Service Support,Regular Army,Male,1492,1558,1082,1355,285,1164,206,1242,951,1883,1004,249,99.6,1.81
Combat Service Support,Regular Army,Male,1415,1477,1002,1250,260,1053,188,1115,930,1707,825,204,74.2,1.71
Combat Service Support,Regular Army,Male,1503,1601,1132,1371,288,1219,204,1223,956,1978,1077,273,96.8,1.847
Combat Service Support,Regular Army,Male,1485,1564,1123,1345,276,1145,183,1162,945,1780,952,225,91.6,1.811
Combat Service Support,Regular Army,Male,1460,1558,1175,1311,296,1170,222,1286,906,1977,1047,281,108,1.78
Combat Service Support,Regular Army,Male,1402,1499,1021,1273,259,1107,188,1170,943,1762,851,212,78.8,1.74
Combat Service Support,Regular Army,Male,1462,1535,1115,1333,278,1150,197,1224,944,1846,920,221,94.9,1.797
Combat Service Support,Regular Army,Male,1432,1526,1112,1294,282,1180,189,1241,896,1827,934,240,90.6,1.755
Combat Service Support,Regular Army,Male,1517,1609,1165,1334,286,1255,205,1248,949,1937,1114,281,106.9,1.842
Combat Service Support,Regular Army,Male,1362,1445,1056,1210,259,1089,180,1157,868,1733,967,224,87.4,1.656
Combat Service Support,Regular Army,Male,1449,1536,1048,1293,272,1160,190,1183,940,1827,1007,256,87.9,1.776
Combat Service Support,Regular Army,Male,1542,1604,1137,1363,284,1208,195,1199,980,1836,1109,301,115.4,1.859
Combat Service Support,Regular Army,Male,1373,1471,1041,1224,266,1036,190,1154,926,1732,827,212,79,1.685
Combat Service Support,Regular Army,Male,1436,1535,1027,1277,278,1158,190,1176,951,1811,947,224,88.7,1.775
Combat Service Support,Regular Army,Male,1512,1598,1021,1356,290,1237,211,1162,892,2007,881,225,86.6,1.825
Combat Service Support,Regular Army,Male,1571,1682,1001,1430,284,1254,204,1168,989,2012,833,198,80.6,1.931
Combat Service Support,Regular Army,Male,1448,1539,1126,1298,275,1160,192,1235,952,1857,963,244,96.6,1.789
Combat Service Support,Regular Army,Male,1501,1575,1225,1365,281,1156,195,1295,955,1875,1100,301,109.9,1.819
Combat Service Support,Regular Army,Male,1428,1544,1070,1293,262,1132,188,1216,933,1824,852,208,77.1,1.782
Combat Service Support,Regular Army,Male,1406,1484,1102,1279,259,1123,183,1200,944,1740,941,240,95.1,1.721
Combat Support,Regular Army,Male,1565,1663,1194,1400,298,1290,210,1314,968,1989,1026,250,111.8,1.91
Combat Service Support,Regular Army,Male,1504,1576,1097,1349,276,1185,199,1181,939,1890,978,251,89.5,1.804
Combat Service Support,Regular Army,Male,1458,1533,1208,1302,270,1197,201,1235,908,1827,1150,306,106,1.782
Combat Service Support,Regular Army,Male,1448,1539,1116,1337,272,1206,177,1245,917,1809,935,245,95.1,1.777
Combat Service Support,Regular Army,Male,1347,1415,995,1234,260,1072,188,1096,909,1769,923,227,72.1,1.665
Combat Service Support,Regular Army,Male,1486,1555,1092,1357,263,1177,185,1183,940,1855,973,255,87.2,1.803
Combat Service Support,Regular Army,Male,1524,1628,1079,1389,300,1252,218,1272,945,2022,908,226,97.8,1.879
Combat Support,Regular Army,Male,1447,1512,1179,1275,249,1123,183,1226,902,1776,1111,288,97.4,1.733
Combat Service Support,Regular Army,Male,1509,1608,1084,1350,278,1213,200,1204,949,1892,1031,276,95.8,1.835
Combat Service Support,Regular Army,Male,1461,1547,1150,1333,277,1176,196,1248,955,1819,1164,278,112.3,1.792
Combat Service Support,Regular Army,Male,1398,1482,1098,1244,272,1055,187,1149,938,1749,1006,242,90,1.721
Combat Service Support,Regular Army,Male,1420,1489,1142,1278,262,1138,183,1175,903,1756,1018,268,94.8,1.711
Combat Service Support,Regular Army,Male,1505,1561,1071,1346,268,1137,184,1216,959,1817,992,231,95,1.809
Combat Service Support,Regular Army,Male,1355,1435,1021,1255,261,1117,179,1168,871,1706,908,215,73.9,1.664
Combat Service Support,Regular Army,Male,1480,1561,1241,1336,279,1147,207,1212,970,1893,1053,247,103.6,1.807
Combat Support,Regular Army,Male,1378,1473,1027,1261,270,1107,185,1128,906,1766,912,222,77.7,1.705
Combat Service Support,Regular Army,Male,1609,1698,1167,1458,299,1287,222,1291,1009,2076,1049,265,108,1.955
Combat Service Support,Regular Army,Male,1388,1484,1082,1267,274,1154,185,1190,924,1771,917,230,84,1.73
Combat Service Support,Regular Army,Male,1461,1531,1139,1278,278,1177,194,1184,931,1812,1066,290,96.4,1.774
Combat Service Support,Regular Army,Male,1406,1497,947,1268,260,1133,177,1080,912,1710,848,199,70.7,1.724
Combat Arms,Regular Army,Male,1392,1458,948,1251,260,1070,195,1097,904,1762,759,200,70.5,1.705
Combat Service Support,Regular Army,Male,1517,1601,1058,1363,274,1185,196,1151,945,1877,959,251,85.1,1.838
Combat Service Support,Regular Army,Male,1385,1463,1102,1260,245,1131,185,1203,902,1706,970,242,86.5,1.706
Combat Service Support,Regular Army,Male,1500,1577,1179,1357,272,1214,198,1225,927,1895,1068,292,97.2,1.809
Combat Service Support,Regular Army,Male,1448,1549,1028,1302,282,1134,197,1134,917,1823,972,251,82.2,1.773
Combat Service Support,Regular Army,Male,1419,1506,1048,1288,271,1137,196,1109,923,1746,993,261,84.2,1.734
Combat Service Support,Regular Army,Male,1428,1509,969,1267,268,1127,187,1134,914,1821,898,228,72.3,1.748
Combat Service Support,Regular Army,Male,1333,1412,1125,1210,262,1047,182,1186,915,1689,964,246,89.6,1.651
Combat Service Support,Regular Army,Male,1425,1498,1049,1269,275,1165,193,1107,873,1873,881,211,75.5,1.724
Combat Arms,Regular Army,Male,1524,1615,957,1379,286,1231,207,1122,960,1912,821,207,73.2,1.86
Combat Service Support,Regular Army,Male,1388,1464,913,1267,266,1126,185,1085,913,1750,801,200,70.1,1.715
Combat Service Support,Regular Army,Male,1444,1521,995,1287,279,1132,196,1126,932,1807,845,227,78.3,1.757
Combat Arms,Regular Army,Male,1590,1665,1237,1412,292,1245,204,1252,1001,1963,1134,271,116.4,1.916
Combat Service Support,Regular Army,Male,1508,1594,1018,1379,280,1225,198,1173,913,1904,877,217,79.9,1.847
Combat Service Support,Regular Army,Male,1522,1610,1059,1372,289,1228,203,1270,937,1969,951,222,90.8,1.855
Combat Service Support,Regular Army,Male,1375,1467,907,1267,261,1094,186,1083,930,1757,867,223,67.7,1.718
Combat Arms,Regular Army,Male,1312,1404,1063,1183,257,1059,185,1178,897,1690,1029,275,85.8,1.641
Combat Arms,Regular Army,Male,1515,1568,1017,1352,293,1183,204,1171,950,1891,879,204,85.2,1.833
Combat Arms,Regular Army,Male,1483,1570,1130,1354,292,1153,195,1254,947,1835,1015,263,103.3,1.784
Combat Service Support,Regular Army,Male,1435,1522,1156,1288,283,1193,206,1256,932,1856,1034,263,103.4,1.77
Combat Support,Regular Army,Male,1382,1456,978,1266,247,1089,183,1107,918,1721,844,198,72.5,1.702
Combat Service Support,Regular Army,Male,1470,1557,963,1307,255,1123,189,1151,946,1843,797,189,71.1,1.8
Combat Service Support,Regular Army,Male,1391,1480,965,1267,265,1117,194,1081,897,1801,892,215,67.8,1.715
Combat Service Support,Regular Army,Male,1493,1593,956,1366,277,1220,189,1153,991,1803,865,214,78.2,1.842
Combat Support,Regular Army,Male,1386,1475,1080,1271,276,1078,188,1158,917,1759,1031,278,90.9,1.71
Combat Service Support,Regular Army,Male,1476,1542,1078,1310,283,1148,201,1215,905,1882,912,235,84,1.753
Combat Service Support,Regular Army,Male,1590,1677,1158,1421,278,1259,200,1243,1030,1934,1086,259,108.6,1.935
Combat Support,Regular Army,Male,1410,1505,1013,1268,258,1111,195,1105,911,1777,914,236,75.8,1.738
Combat Service Support,Regular Army,Male,1436,1530,1037,1309,256,1178,190,1189,899,1852,923,223,83.3,1.77
Combat Service Support,Regular Army,Male,1415,1503,1039,1287,277,1152,193,1193,887,1856,918,223,87,1.72
Combat Support,Regular Army,Male,1362,1445,985,1235,240,1076,175,1082,909,1695,831,217,72.8,1.673
Combat Support,Regular Army,Male,1406,1490,1285,1274,266,1128,183,1293,949,1684,1182,321,110.9,1.715
Combat Support,Regular Army,Male,1497,1583,1082,1336,266,1199,195,1155,955,1813,1054,276,94.5,1.822
Combat Support,Regular Army,Male,1582,1661,1157,1402,286,1238,195,1243,1019,1908,1118,303,114.1,1.913
Combat Support,Regular Army,Male,1434,1516,1049,1314,269,1155,193,1187,943,1799,963,242,90.7,1.756
Combat Support,Regular Army,Male,1400,1491,1063,1266,253,1092,184,1205,920,1776,877,224,84.6,1.735
Combat Service Support,Regular Army,Male,1389,1489,1061,1270,285,1162,208,1230,884,1929,912,243,81.8,1.726
Combat Support,Regular Army,Male,1393,1479,1120,1275,260,1065,187,1242,921,1778,973,260,86.9,1.716
Combat Support,Regular Army,Male,1414,1488,913,1265,257,1090,190,1029,917,1754,818,220,68.2,1.717
Combat Support,Regular Army,Male,1384,1483,941,1267,262,1112,197,1103,884,1764,783,198,68,1.718
Combat Support,Regular Army,Male,1414,1512,1151,1270,284,1136,200,1260,908,1866,1015,250,94.7,1.747
Combat Service Support,Regular Army,Male,1267,1351,810,1133,243,991,172,995,801,1647,694,175,47.4,1.567
Combat Support,Regular Army,Male,1537,1618,1163,1364,274,1194,196,1217,1030,1825,1121,303,115.8,1.894
Combat Service Support,Regular Army,Male,1409,1495,972,1271,264,1110,188,1151,910,1780,870,223,72.9,1.738
Combat Service Support,Regular Army,Male,1551,1618,1091,1391,294,1231,203,1218,954,1950,1015,254,107.8,1.862
Combat Support,Regular Army,Male,1333,1421,846,1196,241,1063,165,1012,871,1644,738,181,54,1.654
Combat Support,Regular Army,Male,1347,1402,1092,1226,247,1059,183,1153,886,1679,1032,287,85.4,1.637
Combat Support,Regular Army,Male,1421,1507,1071,1264,272,1124,190,1231,921,1829,979,228,87.1,1.738
Combat Support,Regular Army,Male,1504,1585,1172,1347,287,1208,205,1261,906,1959,1017,261,107.1,1.813
Combat Support,Regular Army,Male,1438,1499,1035,1302,295,1170,200,1163,860,1884,883,226,79.1,1.738
Combat Support,Regular Army,Male,1509,1595,1203,1323,300,1226,217,1288,933,1949,1068,268,109.6,1.815
Combat Support,Regular Army,Male,1423,1498,1212,1262,267,1149,182,1183,954,1732,1179,308,115,1.736
Combat Support,Regular Army,Male,1369,1454,1047,1247,275,1138,181,1174,898,1719,993,242,86.6,1.689
Combat Service Support,Regular Army,Male,1450,1527,977,1266,253,1150,185,1065,921,1790,880,215,75.6,1.74
Combat Support,Regular Army,Male,1447,1548,1014,1326,269,1138,195,1104,938,1832,977,257,83.4,1.782
Combat Support,Regular Army,Male,1463,1533,1041,1292,271,1135,201,1133,930,1842,925,231,81.2,1.784
Combat Support,Regular Army,Male,1363,1422,1082,1222,252,1127,179,1167,870,1701,1010,260,84.5,1.647
Combat Support,Regular Army,Male,1429,1498,1166,1276,268,1131,187,1197,930,1776,1004,246,94.1,1.74
Combat Service Support,Regular Army,Male,1372,1432,967,1226,273,1118,193,1083,898,1768,744,186,64.4,1.664
Combat Service Support,Regular Army,Male,1498,1569,1171,1342,290,1218,201,1235,925,1913,1045,266,112.4,1.805
Combat Support,Regular Army,Male,1436,1519,1078,1303,267,1181,187,1206,883,1857,936,240,90.7,1.745
Combat Support,Regular Army,Male,1301,1382,963,1180,257,1096,186,1139,849,1708,755,199,71.8,1.605
Combat Support,Regular Army,Male,1524,1582,1101,1395,271,1213,199,1215,935,1960,997,241,97.1,1.83
Combat Support,Regular Army,Male,1503,1569,1053,1349,269,1204,194,1171,917,1881,913,229,81.3,1.81
Combat Service Support,Regular Army,Male,1425,1487,1027,1278,244,1085,178,1118,915,1746,921,235,75.5,1.731
Combat Support,Regular Army,Male,1503,1592,972,1364,295,1188,195,1122,960,1868,899,215,79.7,1.845
Combat Support,Regular Army,Male,1471,1523,915,1324,288,1154,204,1112,897,1907,734,189,64.8,1.775
Combat Support,Regular Army,Male,1473,1555,1142,1299,276,1187,187,1253,934,1838,1124,292,107.9,1.795
Combat Service Support,Regular Army,Male,1356,1426,1081,1218,267,1117,200,1170,857,1773,976,274,87.4,1.664
Combat Service Support,Regular Army,Male,1455,1527,1108,1299,263,1175,187,1176,928,1809,1084,286,98.2,1.752
Combat Support,Regular Army,Male,1522,1577,1069,1357,269,1150,204,1143,941,1893,1026,275,89.3,1.814
Combat Support,Regular Army,Male,1505,1609,1140,1357,282,1228,197,1265,955,1904,1078,282,108.7,1.836
Combat Service Support,Regular Army,Male,1315,1411,1018,1198,248,1056,183,1107,885,1671,972,260,77.5,1.628
Combat Support,Regular Army,Male,1321,1426,1096,1199,253,1099,193,1214,881,1760,903,217,80.1,1.64
Combat Service Support,Regular Army,Male,1400,1487,1127,1269,280,1095,204,1209,934,1798,928,237,87.4,1.728
