Engine Temperature (C),Oil Pressure (psi),Vibration Level (mm/s),Mileage Since Service (km),Brake Wear (%),Battery Voltage (V),Fuel Efficiency (km/L),Driving Condition,Vehicle Type,Service Plan,Maintenance Priority
96.2,39.2,5.39,23850,129.3,12.08,8.3,Mixed,Van,Standard,Critical
98.0,33.9,7.38,16064,92.4,11.95,13.1,Mixed,Sedan,Basic,Critical
110.2,30.8,7.92,24249,124.0,11.98,12.3,Off-road,Sedan,Basic,Critical
102.1,33.3,7.54,21912,112.4,12.05,12.5,Off-road,Sedan,Basic,Critical
96.0,39.5,6.15,22642,107.7,12.36,14.7,Mixed,Sedan,Basic,Urgent
93.8,27.4,6.61,21608,111.2,12.16,8.0,Off-road,Van,Standard,Critical
111.3,28.6,8.27,23893,125.6,12.15,14.2,Off-road,Sedan,VIP,Critical
91.7,49.5,2.09,15389,75.4,12.63,16.3,Highway,Sedan,Basic,Routine
84.8,34.8,5.73,14055,71.1,12.56,9.3,Highway,Truck,Basic,Monitor
102.3,42.5,3.25,10683,58.2,12.26,14.9,Highway,Sedan,Basic,Routine
94.1,32.1,15.21,16086,78.8,12.42,15.3,Mixed,Sedan,Standard,Critical
94.3,20.7,7.02,22346,129.3,12.01,15.8,Off-road,Sedan,Premium,Critical
82.2,31.3,7.21,23986,122.9,12.02,11.0,Mixed,SUV,Basic,Critical
93.8,37.9,5.41,14438,79.7,12.15,12.5,Highway,SUV,Premium,Routine
89.0,40.8,5.35,12060,69.7,12.21,6.5,Highway,Truck,Basic,Monitor
96.5,29.8,7.74,21996,109.9,11.99,9.3,Off-road,Van,Standard,Critical
101.6,20.0,6.93,21908,109.0,12.05,10.7,Off-road,SUV,Premium,Critical
86.9,34.5,5.02,15262,75.8,12.39,13.2,City,Sedan,Standard,Monitor
104.6,34.7,7.37,24057,109.2,9.17,10.7,Mixed,SUV,Premium,Critical
95.4,44.0,7.44,13104,72.5,12.4,10.9,City,SUV,Premium,Monitor
99.2,26.9,8.7,25935,131.9,11.75,8.0,Off-road,Van,Standard,Critical
86.2,37.1,2.9,5366,46.1,12.57,13.2,Highway,SUV,VIP,Routine
93.8,33.4,4.55,26274,117.5,12.33,15.2,City,Sedan,Basic,Urgent
94.1,30.0,6.24,21710,105.4,11.88,9.7,Mixed,SUV,Basic,Critical
95.7,36.5,7.88,21308,111.0,12.1,12.4,Off-road,Sedan,Basic,Critical
101.6,33.2,5.59,19492,102.7,11.95,7.2,City,Truck,Basic,Critical
103.6,37.2,7.58,25004,125.8,12.39,15.0,Off-road,Sedan,Premium,Critical
98.2,29.5,7.01,19024,94.5,12.46,7.0,Mixed,Truck,Basic,Critical
90.1,40.9,2.87,9853,62.8,12.86,15.6,Highway,Sedan,Premium,Routine
108.4,27.0,6.65,17572,96.8,11.97,9.9,Mixed,SUV,Standard,Critical
72.3,36.0,6.65,59556,94.0,12.4,13.0,Mixed,Sedan,Standard,Critical
93.8,40.6,5.67,18250,93.2,12.34,6.7,City,Truck,Premium,Urgent
104.6,34.1,8.65,21210,112.8,12.22,7.8,Off-road,Van,Premium,Critical
86.1,33.9,3.89,13071,70.1,12.6,14.9,City,Sedan,Premium,Routine
98.4,38.2,4.45,18552,86.4,12.25,10.2,City,SUV,Basic,Urgent
102.3,33.4,5.82,16974,96.8,12.58,11.8,Mixed,SUV,Basic,Critical
91.5,36.9,5.93,17865,93.7,12.34,14.1,Mixed,Sedan,Standard,Urgent
82.6,37.7,3.43,8937,44.2,12.35,15.5,Highway,Sedan,Basic,Routine
87.4,29.6,4.15,15064,82.7,12.7,13.4,City,Sedan,Basic,Monitor
92.9,31.4,5.97,18478,99.4,12.18,10.8,City,SUV,VIP,Urgent
96.1,36.2,4.0,11633,54.6,12.68,17.0,Highway,Sedan,VIP,Routine
100.3,22.7,7.88,20293,104.0,12.13,10.1,Off-road,SUV,Basic,Critical
91.3,33.6,5.0,17425,96.2,12.24,12.8,Mixed,Sedan,Basic,Urgent
97.0,30.9,6.35,23583,109.5,12.28,9.2,Off-road,SUV,Standard,Critical
106.4,31.4,6.34,21611,104.2,12.65,4.6,Mixed,Sedan,Basic,Critical
98.1,43.6,6.79,16133,87.8,12.34,8.5,Mixed,Truck,Premium,Urgent
88.6,38.6,3.34,20862,100.4,12.64,9.6,Highway,Truck,Standard,Monitor
91.0,39.1,6.42,16908,83.2,11.99,14.5,Mixed,Sedan,Basic,Urgent
99.1,26.8,7.26,24518,121.6,12.22,9.2,Off-road,SUV,Standard,Critical
95.2,35.6,4.02,7985,45.7,12.71,8.9,Highway,Truck,Premium,Routine
104.0,25.1,6.23,24361,122.5,12.34,10.5,Off-road,SUV,Premium,Critical
91.6,31.7,3.64,13263,71.4,12.26,13.6,Mixed,Sedan,Standard,Monitor
90.8,38.6,2.6,7200,41.9,12.16,12.6,Highway,SUV,Premium,Routine
82.7,38.5,4.34,13552,69.1,11.97,15.1,Highway,Sedan,Premium,Routine
97.5,30.1,6.18,18906,103.0,12.53,14.4,Mixed,Sedan,Basic,Urgent
99.8,33.2,3.14,12679,74.8,12.25,11.9,Highway,SUV,Premium,Routine
81.7,39.7,4.51,8301,57.1,12.47,11.4,Highway,SUV,Premium,Routine
99.8,33.7,6.02,20510,102.5,11.82,15.2,Mixed,Sedan,Standard,Critical
93.9,36.3,6.61,17165,90.4,12.07,15.7,Mixed,Sedan,Premium,Urgent
90.3,32.0,8.26,22901,108.0,12.44,11.2,Off-road,SUV,Premium,Critical
90.3,43.1,3.67,15302,78.6,12.16,10.5,Highway,Van,Standard,Routine
84.1,25.7,5.12,22945,111.8,12.45,7.3,City,Truck,Basic,Critical
94.8,37.8,3.42,17557,80.3,12.24,15.0,City,Sedan,Premium,Routine
94.8,27.3,3.8,17839,94.3,10.28,14.4,City,Sedan,Basic,Critical
88.9,40.2,6.1,18269,89.0,12.27,11.0,City,SUV,Premium,Urgent
98.7,35.3,5.65,12206,107.5,12.45,8.7,Mixed,Van,Standard,Critical
88.8,36.1,4.42,17247,85.6,12.66,14.7,City,Sedan,VIP,Routine
97.0,35.1,4.36,15046,82.0,12.26,13.1,City,Sedan,Basic,Monitor
87.3,40.8,5.05,3657,29.2,12.17,17.4,Highway,Sedan,Standard,Routine
101.0,20.9,7.65,22072,115.9,12.05,9.1,Off-road,Van,Basic,Critical
90.7,32.8,5.03,12915,73.6,12.54,7.1,City,Truck,Basic,Urgent
100.2,29.5,6.02,16495,91.6,12.18,9.0,City,Truck,Basic,Critical
96.6,34.4,5.11,17886,100.5,12.12,10.2,Mixed,SUV,Basic,Critical
92.4,25.4,8.89,23249,117.9,11.74,12.7,Off-road,SUV,Standard,Critical
95.0,28.8,5.76,22580,114.7,11.77,12.9,Mixed,Sedan,Basic,Critical
87.9,36.9,5.14,8852,55.2,12.1,10.1,City,SUV,Basic,Monitor
88.9,35.0,6.41,17566,83.6,12.46,8.4,Mixed,Van,Premium,Urgent
90.0,34.2,5.71,12466,72.2,12.3,15.8,City,Sedan,Standard,Routine
98.6,31.1,6.22,22333,119.7,12.02,12.5,Off-road,Sedan,Basic,Critical
83.4,40.1,6.1,17208,84.5,12.29,15.8,Mixed,Sedan,Standard,Monitor
87.3,33.8,6.64,15866,82.6,12.07,7.7,City,Truck,VIP,Urgent
104.8,33.0,6.75,19964,102.4,12.43,7.7,City,Van,Basic,Critical
98.0,31.7,7.36,20101,108.3,12.06,9.9,Off-road,SUV,Premium,Critical
82.2,44.6,5.17,8156,56.0,12.58,3.4,Highway,Sedan,VIP,Routine
92.5,34.5,4.34,14157,65.8,12.35,8.5,Highway,Truck,Premium,Routine
93.4,40.2,6.85,19301,98.9,12.27,13.6,Off-road,Sedan,Standard,Urgent
97.6,40.7,5.77,20133,101.6,12.39,15.0,Mixed,Sedan,Basic,Urgent
91.8,28.1,13.08,26686,136.2,11.84,14.8,Off-road,Sedan,Basic,Critical
92.9,36.7,6.66,13695,77.4,11.85,10.6,Mixed,SUV,Premium,Urgent
97.9,41.6,4.59,25468,127.3,12.0,14.3,Mixed,Sedan,Basic,Critical
95.1,36.9,5.85,12058,74.9,12.42,13.9,Mixed,Sedan,Basic,Monitor
90.5,33.9,4.26,12227,67.9,12.26,10.2,Highway,Van,Standard,Routine
83.4,34.3,5.65,20794,101.1,12.49,14.4,City,Sedan,Premium,Monitor
102.0,32.9,6.18,18322,90.1,12.07,7.9,Mixed,Van,Standard,Critical
98.0,40.2,4.22,19173,111.3,11.68,14.8,City,Sedan,Basic,Urgent
94.5,28.5,5.61,15192,81.9,12.03,10.4,Mixed,SUV,Standard,Critical
101.5,35.2,3.87,16415,74.0,12.56,14.9,City,Sedan,Premium,Routine
89.6,28.8,6.53,16353,82.3,12.54,11.1,City,SUV,Basic,Urgent
83.1,41.4,4.37,10653,65.7,12.46,11.5,Highway,SUV,Standard,Routine
89.1,33.3,4.71,6211,42.3,12.31,12.0,Highway,SUV,Standard,Routine
99.0,32.3,6.49,21746,102.2,12.25,12.8,City,Sedan,Standard,Critical
93.1,40.0,6.11,21382,106.2,12.27,7.6,Mixed,Truck,Premium,Critical
102.3,27.4,6.65,22989,114.0,12.56,8.0,City,Truck,Basic,Critical
99.9,37.7,6.57,13572,65.7,12.42,9.5,City,Van,Standard,Urgent
85.8,38.6,5.71,17734,91.0,12.71,15.7,City,Sedan,Premium,Routine
96.5,32.9,5.11,12068,65.7,12.16,13.7,City,Sedan,Standard,Monitor
102.6,35.4,3.5,19263,109.6,12.15,10.2,Highway,SUV,Standard,Urgent
92.8,37.2,6.84,14770,91.1,12.3,8.4,Mixed,Truck,VIP,Urgent
110.2,23.7,7.44,23322,118.9,12.23,13.3,Off-road,Sedan,Standard,Critical
97.6,33.1,4.67,8559,46.5,12.63,12.0,Highway,SUV,Standard,Routine
101.2,30.4,6.89,19585,98.4,12.35,10.7,Mixed,SUV,Basic,Critical
134.2,43.3,3.39,15060,82.5,11.87,9.3,Highway,Truck,Standard,Urgent
102.2,27.7,5.3,12340,68.8,12.12,10.1,City,SUV,Standard,Urgent
90.9,39.0,4.4,11697,66.7,12.25,8.8,Highway,Truck,Standard,Routine
102.9,37.1,7.35,20923,109.8,12.13,10.0,City,SUV,VIP,Critical
137.1,43.2,6.52,15322,90.0,11.94,13.6,City,Sedan,Premium,Urgent
87.7,37.9,5.53,18045,85.1,12.82,15.2,City,Sedan,Basic,Monitor
93.2,38.2,5.04,22271,104.8,12.24,12.6,City,SUV,VIP,Urgent
90.3,30.5,5.54,16554,78.3,12.02,6.7,City,Truck,Standard,Critical
75.1,36.5,1.95,11961,59.3,12.95,15.2,Highway,Sedan,Premium,Routine
97.8,34.3,5.84,14203,80.1,12.34,9.8,Mixed,SUV,Standard,Urgent
96.0,35.4,5.02,13805,61.7,12.22,11.1,Highway,SUV,Standard,Routine
95.4,30.9,8.56,17639,95.0,12.37,8.4,Mixed,Truck,VIP,Critical
96.2,37.0,7.83,10607,65.9,12.46,8.0,Mixed,Truck,Premium,Urgent
88.5,41.5,4.11,7453,52.2,12.43,9.0,Highway,Van,Standard,Routine
94.6,28.3,5.92,16827,87.1,12.48,11.8,City,SUV,Premium,Urgent
93.9,34.4,6.0,12762,68.2,12.44,14.1,City,Sedan,Basic,Monitor
93.5,41.0,5.83,17400,91.4,12.7,12.1,Mixed,SUV,Basic,Urgent
105.6,28.7,7.24,28066,138.7,12.11,7.6,Off-road,Van,Standard,Critical
89.3,40.3,3.3,7381,32.8,12.76,16.7,Highway,Sedan,Premium,Routine
103.6,30.2,7.66,24328,124.4,12.31,7.6,Off-road,SUV,Premium,Critical
107.8,40.7,4.53,20319,108.6,12.16,9.6,City,Van,Basic,Critical
94.7,40.4,6.7,21244,111.4,12.49,7.2,Mixed,Truck,Standard,Critical
95.6,32.4,5.8,25465,124.8,12.46,13.7,Off-road,Sedan,Premium,Critical
83.5,33.2,6.02,15376,87.3,12.28,11.6,Highway,SUV,Standard,Monitor
93.8,31.0,6.65,21772,109.6,12.33,6.3,Off-road,Truck,Premium,Critical
97.9,40.2,3.03,3729,26.9,12.8,12.8,Highway,SUV,VIP,Routine
90.8,41.5,3.28,10311,62.9,12.72,10.3,Highway,Van,Basic,Routine
77.3,36.5,3.19,13131,59.5,11.76,15.1,Highway,Sedan,Standard,Routine
92.8,34.2,4.29,15082,74.6,12.44,14.1,City,Sedan,Standard,Monitor
107.6,21.0,7.27,23528,127.8,11.98,12.3,Off-road,Sedan,Standard,Critical
100.3,33.4,7.03,20529,102.0,12.41,10.1,Mixed,SUV,Standard,Critical
91.8,35.9,3.73,12005,60.8,12.18,16.6,Highway,Sedan,Basic,Routine
96.9,33.4,4.42,18981,102.6,12.1,10.8,City,SUV,Basic,Urgent
89.3,26.3,6.95,23796,122.2,12.37,9.8,Off-road,SUV,Basic,Critical
85.8,45.4,4.0,7949,49.3,12.56,9.3,Highway,Truck,Standard,Routine
99.3,30.2,5.63,18467,87.8,12.5,12.0,City,SUV,Premium,Urgent
86.5,45.6,4.49,9169,45.6,12.13,11.5,Highway,SUV,Premium,Routine
94.8,41.0,6.41,18467,105.8,12.4,11.2,City,SUV,Premium,Urgent
90.6,38.2,7.15,19504,104.0,12.22,14.7,Mixed,Sedan,Standard,Critical
92.7,45.1,3.67,13902,84.2,12.06,15.2,Highway,Sedan,Standard,Routine
115.4,34.9,7.21,19414,104.8,11.98,4.6,Mixed,Sedan,Basic,Critical
98.1,25.8,6.83,14785,77.5,12.44,8.3,City,Truck,Standard,Critical
98.7,33.7,6.35,16206,91.3,12.6,9.6,City,SUV,Standard,Urgent
93.8,34.8,5.36,23199,106.5,12.68,14.8,Mixed,Sedan,Standard,Urgent
87.6,32.6,3.94,10154,51.2,12.6,8.7,Highway,Truck,Basic,Routine
92.3,33.4,6.45,25180,125.6,12.16,7.5,Mixed,Truck,Premium,Critical
104.3,36.9,6.94,18637,93.4,11.93,10.5,City,SUV,Standard,Critical
102.7,31.3,4.19,19439,103.7,12.01,7.5,City,Truck,VIP,Critical
97.0,30.8,7.78,19792,103.7,12.33,15.0,Mixed,Sedan,Standard,Critical
90.0,38.0,5.17,15997,83.9,12.29,7.6,City,Truck,Standard,Urgent
105.1,37.5,5.63,12058,69.6,12.01,9.8,Highway,Van,Standard,Monitor
89.5,33.8,5.63,14135,84.7,12.31,14.6,City,Sedan,Standard,Monitor
91.2,29.7,5.62,10035,54.8,12.58,16.3,City,Sedan,Premium,Routine
85.6,35.3,4.0,19207,93.8,12.27,15.4,City,Sedan,Standard,Monitor
96.4,34.6,6.9,26406,134.9,12.07,13.2,Off-road,Sedan,Premium,Critical
102.0,32.7,6.38,12451,66.7,12.25,9.1,City,SUV,Standard,Urgent
88.8,38.3,6.64,21637,107.5,12.06,10.2,City,Van,Basic,Critical
102.3,44.2,3.59,10318,53.8,12.1,11.6,Highway,SUV,Basic,Routine
96.0,36.8,3.88,16494,82.4,12.82,15.5,Mixed,Sedan,Basic,Monitor
92.8,33.6,5.55,14769,78.6,12.08,8.1,Mixed,Van,Standard,Critical
91.0,40.9,3.28,14566,71.0,12.14,14.8,Highway,Sedan,Standard,Routine
98.7,32.9,6.97,22408,112.8,11.99,10.0,Mixed,Van,Standard,Critical
87.0,30.3,6.5,19938,107.5,12.34,8.8,City,SUV,Basic,Critical
87.2,39.5,7.07,23641,110.9,12.32,14.9,City,Sedan,Basic,Urgent
99.8,30.9,6.13,10628,61.7,12.67,8.2,City,Truck,Premium,Monitor
101.1,33.7,7.44,24540,124.5,12.1,5.5,City,Truck,Basic,Critical
94.9,39.6,3.93,16089,90.4,12.14,14.1,City,Sedan,Standard,Monitor
94.2,35.1,4.99,11321,62.1,12.06,15.5,Highway,Sedan,Standard,Routine
101.8,37.3,5.81,21977,112.8,12.09,7.8,City,Truck,Premium,Critical
90.3,38.9,3.4,8693,46.0,12.83,16.8,Highway,Sedan,Basic,Routine
75.6,41.8,4.07,42196,114.4,12.36,15.6,Highway,Sedan,Standard,Urgent
85.0,41.5,3.95,19391,93.2,12.32,13.4,City,Sedan,Standard,Monitor
93.8,38.4,5.45,15004,83.6,12.38,9.8,Mixed,Van,Standard,Urgent
94.4,31.1,2.95,11883,72.0,12.63,15.8,Highway,Sedan,Standard,Routine
105.7,35.3,4.42,15738,81.8,12.48,10.2,City,SUV,Basic,Urgent
86.9,46.6,3.04,5553,32.3,12.36,15.6,Highway,Sedan,Premium,Routine
80.6,47.1,3.68,5887,41.0,12.77,16.8,Highway,Sedan,Premium,Routine
102.6,34.7,5.54,20312,102.4,11.98,12.9,Off-road,Sedan,Basic,Critical
106.1,21.5,8.79,23242,124.4,12.2,8.7,Off-road,Van,Premium,Critical
88.4,37.5,3.71,14635,72.1,12.19,15.4,Highway,Sedan,Standard,Routine
99.4,34.8,5.31,17265,88.4,12.16,10.7,City,SUV,Basic,Critical
91.0,38.1,6.43,21843,112.4,11.88,5.0,Mixed,Truck,Standard,Critical
103.4,30.9,8.27,26174,127.5,11.83,8.8,Off-road,SUV,Basic,Critical
101.1,37.0,4.72,18373,80.1,12.65,13.7,City,Sedan,Standard,Routine
89.4,32.1,6.86,17244,84.3,12.03,9.0,City,SUV,Standard,Critical
86.6,36.9,2.7,7951,40.1,12.42,11.8,Highway,SUV,Standard,Routine
97.9,36.9,7.44,19986,97.5,12.4,3.1,Off-road,SUV,Premium,Critical
85.3,35.5,5.97,14519,78.9,12.21,14.9,Mixed,Sedan,Standard,Monitor
89.2,30.4,5.77,16767,88.7,12.13,16.4,City,Sedan,Premium,Monitor
86.0,33.5,7.08,28577,137.6,11.73,13.3,Off-road,Sedan,Basic,Critical
93.0,34.8,8.2,23723,122.1,12.21,9.4,Mixed,SUV,Basic,Critical
92.9,43.9,3.69,14009,75.0,12.67,10.8,Highway,SUV,Basic,Routine
103.5,42.0,8.35,19119,106.0,12.53,14.1,Off-road,Sedan,VIP,Critical
93.9,31.3,5.09,20010,100.5,12.15,11.5,City,SUV,VIP,Urgent
96.1,42.9,3.7,9013,48.2,12.56,15.4,Highway,Sedan,Standard,Routine
91.5,37.6,5.59,15688,78.8,12.72,9.4,City,SUV,Premium,Monitor
89.9,41.9,4.64,14888,76.7,12.49,13.1,Highway,SUV,Premium,Routine
104.7,41.2,4.62,18756,88.2,12.58,14.7,City,Sedan,Standard,Monitor
96.2,23.0,8.24,19393,109.3,11.92,6.3,Mixed,Truck,Standard,Critical
84.3,35.4,2.31,9326,41.2,12.68,17.9,Highway,Sedan,VIP,Routine
96.6,35.3,6.04,13692,82.6,12.22,10.5,Mixed,Van,Standard,Urgent
94.9,41.6,3.3,13651,67.0,12.37,7.5,Highway,Truck,Standard,Routine
88.4,39.8,4.65,12078,66.5,12.35,15.6,City,Sedan,Basic,Routine
108.2,41.5,7.16,14964,88.5,12.09,7.5,City,Truck,Basic,Critical
93.6,45.4,21.27,13240,75.4,12.07,9.2,City,Truck,Standard,Critical
99.8,34.2,7.79,23788,124.9,12.04,13.6,Off-road,Sedan,Basic,Critical
102.5,32.0,6.49,21506,105.9,11.96,15.1,Mixed,Sedan,Standard,Critical
108.6,35.7,6.9,14832,91.0,12.28,8.0,City,Truck,Premium,Critical
95.3,10.4,4.96,13037,69.3,12.55,10.9,City,SUV,Standard,Urgent
94.2,36.7,4.88,18317,91.3,12.07,4.1,City,Sedan,Standard,Urgent
96.9,40.6,5.51,18629,109.0,12.5,13.7,City,Sedan,Standard,Urgent
83.1,35.3,4.88,13350,72.0,12.4,14.9,Highway,Sedan,Basic,Routine
102.5,28.8,5.86,25953,119.3,12.15,7.6,Mixed,Truck,Standard,Critical
93.3,36.1,7.41,19303,106.2,12.44,9.9,City,Truck,Standard,Critical
89.3,36.3,3.85,10136,55.5,12.77,12.0,Highway,SUV,Basic,Routine
101.0,36.9,7.24,21781,114.9,11.66,14.9,Mixed,Sedan,Premium,Critical
148.9,31.8,6.45,16092,77.1,12.33,11.1,Mixed,SUV,VIP,Critical
98.9,34.2,4.14,16627,83.9,12.23,10.4,City,SUV,VIP,Urgent
87.2,33.1,18.94,17061,91.4,12.06,7.6,City,Truck,Standard,Critical
89.5,37.0,6.37,15666,89.8,12.22,7.5,Mixed,Truck,Standard,Critical
91.6,38.4,6.14,22775,118.4,12.41,13.9,Mixed,Sedan,Basic,Critical
89.9,33.1,5.83,14780,81.2,12.57,14.2,Mixed,Sedan,Standard,Monitor
106.9,25.8,8.35,25820,134.4,11.68,7.1,Mixed,Van,Standard,Critical
92.9,40.1,4.19,11958,51.4,12.76,7.9,Highway,Truck,Standard,Routine
90.8,39.2,4.89,10603,50.5,12.42,16.5,Highway,Sedan,Basic,Routine
98.2,31.7,7.88,25329,121.4,12.24,6.3,Off-road,Truck,Standard,Critical
100.7,32.0,8.6,23658,124.9,12.11,7.9,Off-road,Truck,Premium,Critical
78.0,40.6,3.13,6089,45.9,12.22,12.0,Highway,SUV,Basic,Routine
98.6,39.4,5.29,10578,59.7,12.21,10.6,City,SUV,Premium,Monitor
103.6,31.7,5.85,16863,92.3,12.12,7.6,Mixed,Van,Standard,Critical
98.4,35.8,6.51,21043,102.0,12.28,12.8,City,SUV,VIP,Urgent
91.0,33.5,6.03,21305,103.8,12.13,8.8,City,Truck,Premium,Critical
85.5,20.4,6.89,24448,120.6,12.42,14.7,Off-road,Sedan,Standard,Critical
91.7,33.8,4.21,9906,59.0,12.55,8.9,Highway,Truck,Standard,Routine
95.2,31.8,9.04,16479,95.4,11.97,6.7,Off-road,Truck,Standard,Critical
